,freesound_id,license,name,path,tags,username
15,464400,http://creativecommons.org/publicdomain/zero/1.0/,Dog_Bark.wav,files/464400_7372230-hq.ogg,"['Bark', 'Dog', 'Animal']",michael_grinnell
16,501678,http://creativecommons.org/licenses/by-nc/3.0/,BARKING DOG.wav,files/501678_9610234-hq.ogg,"['bark', 'owi', 'dog', 'barking']",tsakanemashaba
17,386766,http://creativecommons.org/publicdomain/zero/1.0/,Dog_Barking.wav,files/386766_5768130-hq.ogg,"['bark', 'dog', 'barking']",ken788
18,533826,http://creativecommons.org/publicdomain/zero/1.0/,Dog Bark.wav,files/533826_11852214-hq.ogg,"['bark', 'Dog', 'Animal']",Angellu16
19,199261,http://creativecommons.org/publicdomain/zero/1.0/,A dog barking (close recording),files/199261_1661766-hq.ogg,"['moan', 'blume', 'barking', 'usa', 'grunting', 'felix', 'dog', 'moaning', 'CD130507T024', 'missouri', 'growing', 'bark', 'grunt', 'dogs', 'center']",felix.blume
20,124103,http://creativecommons.org/publicdomain/zero/1.0/,K Sound.wav,files/124103_2219481-hq.ogg,"['beatboxing', 'connersaw8', 'mouth', 'percussion', 'sounds']",connersaw8
21,57040,http://creativecommons.org/licenses/by/3.0/,suctioncupkick.wav,files/57040_4948-hq.ogg,"['dangerous', 'foley', 'kitchen', 'percussion', 'sounds']",NoiseCollector
22,463937,http://creativecommons.org/publicdomain/zero/1.0/,Lighter Fire,files/463937_9754348-hq.ogg,"['152', 'random', 'Percussion', 'Flint', 'Lighter', 'Strike', 'Music', 'Sounds', 'Clicks']",RicardoRG
23,260469,http://creativecommons.org/publicdomain/zero/1.0/,electribe-kicks slice 09 [A-4].wav,files/260469_2127539-hq.ogg,"['bd', 'groovebox', 'presets', 'drum', 'bassdrum', 'percussion', 'beat', 'korg', 'factory', 'fat', 'emx', 'sample', 'electribe', 'bass-drum', 'drums', 'new', '2', 'sounds', 'kickdrum', 'kick', 'bass']",soneproject
24,183115,http://creativecommons.org/licenses/by/3.0/,prc_appet909.wav,files/183115_2394245-hq.ogg,"['perc', 'hits', 'drums', 'house', 'Percussion', 'music', 'Vinyl', 'samples', 'sounds']",DWSD
25,338748,http://creativecommons.org/publicdomain/zero/1.0/,Perc. coffee tin 03 muted March 2016.wav,files/338748_5450487-hq.ogg,"['sample-pack', 'sampling', 'sample', 'raw', 'Sampler', 'sounds', 'coffee-tin', 'chop', 'bathroom', 'cut', 'soundset', 'percussion', 'tin', 'recording', 'coffee', 'hit', 'fragment', 'bit', 'sound', 'short', 'drum', 'drum-hit', 'acoustic', 'experimental']",cabled_mess
26,463936,http://creativecommons.org/publicdomain/zero/1.0/,Small Case Closed,files/463936_9754348-hq.ogg,"['Sound', 'Music152', 'Drum', 'Garcia', 'Percussion', '152', 'Basic', 'Sounds', 'Class']",RicardoRG
27,463938,http://creativecommons.org/licenses/by/3.0/,Velcro Rip,files/463938_9754348-hq.ogg,"['sound', '152', 'Drum', 'Garcia', 'Random', 'Percussion', 'music', 'Effects', 'Velcro', 'Sounds']",RicardoRG
28,207919,http://creativecommons.org/licenses/by/3.0/,Space snare,files/207919_19852-hq.ogg,"['percussion', 'imposcar', 'softsynth', 'snare', 'gforce']",altemark
29,424373,http://creativecommons.org/publicdomain/zero/1.0/,percussion sound 1.wav,files/424373_7099958-hq.ogg,"['perc', 'percussion', 'percs', 'percussive']",Elnosos
30,264173,http://creativecommons.org/licenses/by/3.0/,original sound.wav,files/264173_2750665-hq.ogg,"['perc', 'one-shot', 'hit', 'sfx', 'percussion', 'snaree', 'percs', 'clap', 'percussive']",GabrieleKkj
31,31061,http://creativecommons.org/licenses/by-nc/3.0/,Sound 13.wav,files/31061_33110-hq.ogg,"['box', 'bridge', 'drum', 'industrial', 'metal', 'percussion', 'reverb']",scuzzpuck
32,249977,http://creativecommons.org/licenses/by/3.0/,Short_sound_4.wav,files/249977_97763-hq.ogg,"['noise', 'AM', 'Twente-University', 'short-wave', 'percussion', 'static', 'creak', 'shortwave', 'radio']",AlienXXX
33,473252,http://creativecommons.org/licenses/by/3.0/,MSfxP Sound 36,files/473252_9497060-hq.ogg,"['sound', 'erokia', 'fx', 'Menu', 'effect', 'percussion', 'music', 'UI', 'synth', 'stab']",Erokia
34,193978,http://creativecommons.org/publicdomain/zero/1.0/,Knife Hit 24.wav,files/193978_3022224-hq.ogg,"['drum', 'metal', 'silverware', 'metallic', 'percussion', 'knives', 'percussive', 'drums']",potentjello
35,139500,http://creativecommons.org/publicdomain/zero/1.0/,various 28,files/139500_1951924-hq.ogg,"['snap', 'percussion', 'click']",arseniiv
36,535779,http://creativecommons.org/licenses/by-nc/3.0/,09208 app mallet try again message.wav,files/535779_321967-hq.ogg,"['notification', 'app', 'percussion', 'warning', 'percussive', 'try-again', 'message']",Robinhood76
37,111163,http://creativecommons.org/licenses/by/3.0/,firecracker_coke.wav,files/111163_4948-hq.ogg,"['firecracker', 'hit', 'percussion']",NoiseCollector
38,65688,http://creativecommons.org/licenses/by/3.0/,toiletseat.wav,files/65688_4948-hq.ogg,"['percussion', 'seat', 'toilet']",NoiseCollector
39,532240,http://creativecommons.org/licenses/by/3.0/,cup-mid-rim.m4a,files/532240_11819159-hq.ogg,"['mallet', 'percussion', 'metallic', 'percussive', 'cup']",PianoYampy
40,315688,http://creativecommons.org/publicdomain/zero/1.0/,ououou,files/315688_3442171-hq.ogg,"['one-shot-sample', 'spoken-word', 'vocal-sample', 'vocals', 'a-cappella', 'vox']",Roses1401
41,75509,http://creativecommons.org/publicdomain/zero/1.0/,base.mp3,files/75509_818377-hq.ogg,"['acapella', 'acapellas', 'akapella', 'base', 'bass', 'hard', 'hardcore', 'hardstyle', 'kick', 'speech', 'vocal', 'vocals']",TiBRo
42,464633,http://creativecommons.org/publicdomain/zero/1.0/,Beatbox - Snare 2,files/464633_4814007-hq.ogg,"['Beatbox', 'Hiphop', 'vocals']",elynch0901
43,464634,http://creativecommons.org/publicdomain/zero/1.0/,Beatbox - Snare,files/464634_4814007-hq.ogg,"['Beatbox', 'Hiphop', 'Vocals']",elynch0901
44,490702,http://creativecommons.org/publicdomain/zero/1.0/,jaaah.wav,files/490702_3873969-hq.ogg,"['vocals', 'ohjeah', 'jeah', 'vocal', 'jah']",chiptraxxx
45,464636,http://creativecommons.org/publicdomain/zero/1.0/,Beatbox - Drum,files/464636_4814007-hq.ogg,"['Beatbox', 'Hiphop', 'Vocals']",elynch0901
46,464635,http://creativecommons.org/publicdomain/zero/1.0/,Beatbox - Drum 2,files/464635_4814007-hq.ogg,"['Beatbox', 'Hiphop', 'Vocals']",elynch0901
47,432883,http://creativecommons.org/licenses/by/3.0/,LFS_Vox3.wav,files/432883_4157918-hq.ogg,"['male', 'energetic', 'positive', 'lo-fi', 'yeah', 'vocal', 'shouts', 'shout', 'vocals', 'lo-fi-stupidity', 'voice', 'vox', 'excited']",xtrgamr
48,87649,http://creativecommons.org/publicdomain/zero/1.0/,e.wav,files/87649_664547-hq.ogg,"['catalan', 'e', 'vocals', 'voice']",vallver
49,272029,http://creativecommons.org/publicdomain/zero/1.0/,Male cough,files/272029_5165013-hq.ogg,"['cough', 'vocal', 'voice', 'vocals', 'human', 'sounds', 'male', 'man']",aldenroth2
50,510014,http://creativecommons.org/publicdomain/zero/1.0/,woah.wav,files/510014_10394774-hq.ogg,"['woah', 'vocals', 'vocal']",PJAlexander27
51,520894,http://creativecommons.org/licenses/by/3.0/,Damn.aif,files/520894_6644160-hq.ogg,"['hip', 'beats', 'vocals', 'soul']",gabesulpizio
52,556422,http://creativecommons.org/licenses/by/3.0/,Funk/Pop Synth Kick,files/556422_1954411-hq.ogg,"['drop', 'hats', 'pop', 'edm', 'sample', 'beats', 'hip-hop', 'music', 'tom', 'snap', 'kick', 'crash', 'bass', 'beat', 'synth', 'guitar', 'ambience', 'smack', 'drums', 'rimshot', 'snare', 'funk', 'chill', 'synths', 'drum', 'toms', 'vocals', 'loop', 'clap']",YellowTree
53,88159,http://creativecommons.org/licenses/sampling+/1.0/,vocal A.wav,files/88159_1269037-hq.ogg,"['a', 'vocal']",tajada
54,251689,http://creativecommons.org/publicdomain/zero/1.0/,Yéh.wav,files/251689_1730960-hq.ogg,"['henriquedesa', 'voice', 'vocalizations', 'vocal', 'human', 'male', 'man']",henriquedesa
55,417506,http://creativecommons.org/licenses/by/3.0/,jucuzzi.wav,files/417506_1453392-hq.ogg,"['sample', 'voice', 'human']",Xcreenplay
56,88402,http://creativecommons.org/publicdomain/zero/1.0/,aaaaa_GNAS.wav,files/88402_1097185-hq.ogg,"['68880', 'a', 'digital', 'parla', 'tractament', 'vocal']",guillemnicolau
57,150505,http://creativecommons.org/publicdomain/zero/1.0/,Huh? - Vocal,files/150505_1883289-hq.ogg,"['boy', 'vocale', 'huh', 'confused', 'vocal', 'guy', 'male']",davdud101
58,166161,http://creativecommons.org/publicdomain/zero/1.0/,Vocal_male_1.wav,files/166161_2104797-hq.ogg,"['voice', 'male', 'eh', 'vocal']",deleted_user_2104797
59,166357,http://creativecommons.org/licenses/by/3.0/,"""Alarm"" (Male Voice through Speaker)",files/166357_71257-hq.ogg,"['male', 'alarm', 'accent', 'robot', 'echo', 'warning', 'speaker', 'human', 'russian', 'klaxon', 'message', 'voice', 'signal']",qubodup
